,date,tweet_count,daily_sent,elonmusk,michael_saylor,binance,peterlbrandt,apompliano,cashapp,raoulgmi,tyler,squawkcnbc,scottmelker
2021-04-16,2021-04-16,13,0.1318076923076923,0,0,0,0,0,0,0,0,0,0
2021-04-15,2021-04-15,12,0.43782499999999996,0,0,1,0,0,0,0,0,0,0
2021-04-14,2021-04-14,11,0.4274090909090909,0,0,0,0,0,0,0,1,1,1
2021-04-13,2021-04-13,21,0.25040000000000007,0,0,0,0,1,0,0,0,1,1
2021-04-12,2021-04-12,17,0.5116235294117647,0,1,0,0,0,0,0,1,1,0
2021-04-10,2021-04-10,7,0.20265714285714287,0,0,0,0,0,0,1,0,0,0
2021-04-09,2021-04-09,3,-0.2904333333333333,0,0,0,0,0,0,0,0,1,0
2021-04-08,2021-04-08,7,0.09094285714285714,0,1,0,0,0,0,0,1,0,0
2021-04-07,2021-04-07,5,0.10551999999999999,0,0,0,0,0,0,0,0,0,0
2021-04-06,2021-04-06,3,-0.2864,0,0,0,0,0,0,0,0,0,0
2021-04-05,2021-04-05,4,0.267675,0,0,0,0,0,0,0,0,1,0
2021-04-04,2021-04-04,3,0.07183333333333332,0,1,0,0,0,0,0,0,0,0
2021-04-03,2021-04-03,2,-0.125,0,0,0,0,0,0,0,0,0,0
2021-04-02,2021-04-02,3,-0.0602,0,0,0,1,0,0,0,0,0,0
2021-04-01,2021-04-01,6,0.5733333333333334,0,0,0,0,0,0,0,0,0,0
2021-03-31,2021-03-31,5,0.37426,0,0,0,0,0,0,0,0,0,0
2021-03-30,2021-03-30,6,0.34231666666666666,0,1,0,0,0,0,0,0,0,0
2021-03-29,2021-03-29,5,0.14887999999999996,0,0,0,1,0,0,0,0,0,0
2021-03-28,2021-03-28,3,0.18310000000000004,0,0,0,0,0,0,0,0,0,0
2021-03-27,2021-03-27,1,0.7783,0,0,0,0,0,0,0,0,0,0
2021-03-26,2021-03-26,5,0.11226,0,0,0,0,0,0,0,0,1,1
2021-03-25,2021-03-25,6,0.13835,0,0,0,0,0,0,0,0,0,1
2021-03-24,2021-03-24,13,0.4386,0,1,1,1,0,0,0,1,0,1
2021-03-23,2021-03-23,4,0.327275,0,1,0,0,0,0,0,0,0,0
2021-03-22,2021-03-22,4,0.5179750000000001,0,0,0,0,0,0,0,0,0,0
2021-03-21,2021-03-21,2,-0.7634000000000001,0,0,0,0,0,0,1,0,0,0
2021-03-20,2021-03-20,1,-0.2617,0,0,0,0,0,0,0,0,0,0
2021-03-19,2021-03-19,4,0.6433000000000001,0,0,1,0,0,0,0,1,0,0
2021-03-18,2021-03-18,6,0.53665,0,1,0,1,0,0,0,0,1,0
2021-03-17,2021-03-17,3,0.7511666666666666,0,0,0,0,0,1,0,0,0,0
2021-03-16,2021-03-16,4,0.020600000000000007,0,0,0,0,0,0,0,0,0,0
2021-03-15,2021-03-15,6,0.14168333333333333,0,0,0,0,0,0,0,0,0,0
2021-03-14,2021-03-14,2,0.17495,0,0,0,0,0,0,0,0,0,0
2021-03-13,2021-03-13,8,0.2706875,0,0,1,0,0,0,0,0,0,1
2021-03-12,2021-03-12,3,0.22116666666666665,1,0,0,0,0,0,0,0,0,0
2021-03-11,2021-03-11,3,0.4102333333333334,0,0,0,0,0,0,0,0,0,0
2021-03-10,2021-03-10,4,0.434475,0,0,0,0,0,0,0,0,0,1
2021-03-09,2021-03-09,3,0.4774,0,0,0,0,0,0,0,0,0,0
2021-03-08,2021-03-08,4,0.5817,0,1,0,0,0,0,1,0,0,0
2021-03-07,2021-03-07,6,0.20419999999999996,0,0,1,1,0,0,0,0,0,0
2021-03-06,2021-03-06,1,-0.2551,0,0,0,0,0,0,0,0,0,0
2021-03-05,2021-03-05,4,0.13849999999999998,0,0,0,0,0,0,0,0,0,0
2021-03-04,2021-03-04,2,-0.11960000000000001,0,0,0,1,0,0,0,0,0,0
2021-03-03,2021-03-03,4,-0.14467499999999997,0,0,0,1,0,0,0,0,0,0
2021-03-02,2021-03-02,3,-0.1334,0,0,0,0,0,0,0,0,0,0
2021-03-01,2021-03-01,6,0.23878333333333332,0,0,0,0,0,0,0,0,0,0
2021-02-28,2021-02-28,6,0.1711166666666666,0,0,0,0,0,0,0,0,0,1
2021-02-27,2021-02-27,2,0.3586,0,0,0,0,1,0,0,0,0,0
2021-02-26,2021-02-26,5,0.09318,0,0,0,0,0,0,0,0,0,0
2021-02-25,2021-02-25,5,0.46159999999999995,0,0,0,0,0,0,0,0,0,1
2021-02-24,2021-02-24,3,-0.07386666666666666,0,0,0,0,0,0,0,0,0,0
2021-02-23,2021-02-23,5,0.20962,0,1,0,0,0,0,0,0,1,0
2021-02-22,2021-02-22,7,0.08935714285714284,0,0,0,1,0,0,0,0,0,0
2021-02-21,2021-02-21,8,0.13403750000000003,0,1,0,0,1,0,1,0,0,0
2021-02-20,2021-02-20,5,0.44824,0,0,0,0,0,0,0,0,0,0
2021-02-19,2021-02-19,8,0.4903,0,0,0,0,0,0,0,1,0,0
2021-02-18,2021-02-18,3,0.3086333333333333,0,0,0,0,0,0,0,0,0,0
2021-02-17,2021-02-17,15,0.04426666666666668,0,0,1,1,1,0,1,0,1,1
2021-02-16,2021-02-16,8,0.26895,0,0,0,0,0,0,0,0,1,0
2021-02-15,2021-02-15,6,0.08081666666666666,0,0,0,0,0,0,0,0,0,0
2021-02-14,2021-02-14,4,-0.15292499999999998,0,0,1,0,0,0,0,0,0,0
2021-02-13,2021-02-13,5,0.08009999999999995,0,0,0,0,0,0,0,0,0,0
2021-02-12,2021-02-12,7,0.6816857142857143,0,0,1,0,1,0,0,0,0,1
2021-02-11,2021-02-11,8,0.3999250000000001,0,0,0,0,0,0,0,0,1,1
2021-02-10,2021-02-10,4,-0.0029749999999999985,0,0,0,0,1,0,0,0,1,0
2021-02-09,2021-02-09,9,0.31734444444444443,0,0,0,0,0,0,0,0,1,0
2021-02-08,2021-02-08,17,0.16554705882352944,0,0,0,0,0,0,0,0,1,1
2021-02-07,2021-02-07,4,-0.09184999999999999,0,0,0,0,0,0,0,0,0,0
2021-02-06,2021-02-06,5,0.29816000000000004,0,0,0,0,0,0,0,0,0,0
2021-02-05,2021-02-05,2,0.3982,0,0,0,0,0,0,0,0,0,0
2021-02-04,2021-02-04,1,0.5849,0,1,0,0,0,0,0,0,0,0
2021-02-03,2021-02-03,1,-0.75,0,0,0,0,0,0,0,0,0,0
2021-02-02,2021-02-02,1,0.6808,0,0,0,0,0,0,0,0,0,0
2021-02-01,2021-02-01,2,0.0,0,0,0,1,0,0,0,0,0,0
2021-01-31,2021-01-31,1,0.2732,0,0,0,0,0,0,0,0,0,0
2021-01-30,2021-01-30,3,-0.045366666666666645,0,0,0,0,0,0,0,0,0,0
2021-01-29,2021-01-29,7,0.6052142857142858,0,0,0,1,0,0,0,0,0,0
2021-01-28,2021-01-28,3,0.0,0,0,0,0,0,0,0,1,0,0
2021-01-27,2021-01-27,3,-0.1998,0,0,1,0,0,0,0,0,0,0
2021-01-26,2021-01-26,1,0.8883,0,0,1,0,0,0,0,0,0,0
2021-01-25,2021-01-25,7,0.5116857142857143,0,1,1,0,0,0,0,0,0,0
2021-01-24,2021-01-24,3,0.6759666666666666,0,0,0,0,0,0,0,0,0,0
2021-01-23,2021-01-23,1,-0.2944,0,0,0,0,0,0,0,0,0,0
2021-01-22,2021-01-22,8,0.394825,0,1,0,0,0,0,0,0,0,0
2021-01-21,2021-01-21,1,0.0,0,0,0,0,0,0,0,0,0,1
2021-01-20,2021-01-20,4,-0.048125,0,0,1,0,0,0,0,0,0,0
2021-01-19,2021-01-19,1,-0.6908,0,0,0,0,0,0,0,0,0,0
2021-01-18,2021-01-18,2,0.72585,0,0,0,0,0,0,0,1,0,0
2021-01-17,2021-01-17,3,0.5015666666666667,0,0,0,0,0,0,0,0,0,0
2021-01-16,2021-01-16,2,0.9218,0,0,1,0,0,0,0,0,0,0
2021-01-15,2021-01-15,5,0.1941,0,0,1,0,0,0,0,0,0,0
2021-01-14,2021-01-14,6,0.4080166666666667,0,0,1,0,0,0,0,0,0,0
2021-01-13,2021-01-13,6,0.44435,0,0,1,0,0,0,0,1,0,0
2021-01-12,2021-01-12,3,0.5188333333333334,0,0,0,0,0,0,0,0,0,0
2021-01-11,2021-01-11,11,0.08827272727272728,0,0,1,0,0,0,0,0,1,0
2021-01-10,2021-01-10,6,0.03316666666666668,0,0,1,0,0,0,0,0,0,0
2021-01-09,2021-01-09,3,-0.28053333333333336,0,0,0,0,0,0,0,0,0,0
2021-01-08,2021-01-08,5,0.29056,0,0,0,0,0,0,0,0,0,0
2021-01-07,2021-01-07,14,0.058721428571428556,0,0,1,1,0,0,0,0,1,0
2021-01-06,2021-01-06,8,0.0194625,0,0,1,0,0,0,0,0,0,0
2021-01-05,2021-01-05,2,0.33115,0,0,1,0,0,0,0,0,0,0
