,date,tweet_count,daily_sent,narendramodi,amitshah,ryangirdusky,sentedcruz,elienyc,whcos,yamiche,brendanblumer,binance,johncardillo
2021-04-18,2021-04-18,1,0.5255,0,0,0,0,0,0,0,0,1,0
2021-04-14,2021-04-14,2,0.1813,0,0,0,0,0,0,0,0,0,0
2021-04-13,2021-04-13,1,0.0,0,0,0,0,0,0,0,0,0,0
2021-04-09,2021-04-09,3,0.4065666666666667,0,0,0,0,0,0,0,0,0,0
2021-04-08,2021-04-08,1,0.6908,0,0,0,0,0,0,0,0,0,0
2021-04-07,2021-04-07,1,-0.3582,0,0,0,0,0,0,0,0,0,0
2021-04-06,2021-04-06,1,0.7081,0,0,0,0,0,0,0,0,1,0
2021-04-05,2021-04-05,1,0.9451,0,0,0,0,0,0,0,0,0,0
2021-04-02,2021-04-02,1,0.0772,0,0,0,0,0,0,0,1,0,0
2021-04-01,2021-04-01,1,0.0,0,0,0,0,0,0,0,0,0,0
2021-03-31,2021-03-31,1,0.6486,0,0,0,0,0,0,0,0,0,0
2021-03-30,2021-03-30,1,0.8225,0,0,0,0,0,0,0,0,1,0
2021-03-29,2021-03-29,1,0.6249,0,0,0,0,0,0,0,0,0,0
2021-03-28,2021-03-28,1,0.4019,0,0,0,0,0,0,0,0,1,0
2021-03-27,2021-03-27,2,0.1591,0,0,0,0,0,0,0,1,0,0
2021-03-25,2021-03-25,2,0.6007,0,0,0,0,0,0,0,0,0,0
2021-03-22,2021-03-22,1,-0.6249,0,0,0,0,0,0,0,0,0,0
2021-03-21,2021-03-21,1,-0.7964,0,0,0,0,0,0,0,0,0,0
2021-03-20,2021-03-20,1,0.6864,0,0,0,0,0,0,0,1,0,0
2021-03-19,2021-03-19,1,0.0,0,0,0,0,0,0,0,0,0,0
2021-03-18,2021-03-18,1,0.3365,0,0,0,0,0,0,0,0,0,0
2021-03-17,2021-03-17,2,0.1704,0,0,0,0,0,0,0,0,1,0
2021-03-16,2021-03-16,1,0.0,0,0,0,0,0,0,0,0,1,0
2021-03-11,2021-03-11,1,-0.3195,0,0,0,0,0,0,0,0,0,0
2021-03-09,2021-03-09,1,0.0,0,0,0,0,0,0,0,0,0,0
2021-03-05,2021-03-05,1,0.2023,0,0,0,0,0,0,0,0,0,0
2021-03-01,2021-03-01,1,0.0,0,0,0,0,0,0,0,0,0,0
2021-02-25,2021-02-25,1,0.3612,0,0,0,0,0,0,0,0,0,0
2021-02-24,2021-02-24,1,0.0,0,0,0,0,0,0,0,0,0,0
2021-02-23,2021-02-23,2,0.6152,0,0,0,0,0,0,0,1,0,0
2021-02-21,2021-02-21,1,0.0,0,0,0,0,0,0,0,0,0,0
2021-02-20,2021-02-20,2,0.5409,0,0,0,0,0,0,0,1,0,0
2021-02-18,2021-02-18,2,-0.03595000000000001,0,0,0,0,0,0,0,0,0,0
2021-02-17,2021-02-17,1,-0.743,0,0,0,0,0,0,1,0,0,0
2021-02-13,2021-02-13,2,0.0,0,0,0,0,0,0,0,0,1,0
2021-02-12,2021-02-12,3,0.18400000000000002,0,0,0,0,0,0,0,0,0,0
2021-02-10,2021-02-10,3,-0.21033333333333334,0,0,0,0,0,0,0,1,0,0
2021-02-09,2021-02-09,1,0.3612,0,0,0,0,0,0,0,0,0,0
2021-02-08,2021-02-08,2,0.49305,0,0,0,0,0,0,0,1,0,0
2021-02-07,2021-02-07,3,0.43829999999999997,0,0,0,0,0,1,0,0,1,0
2021-02-05,2021-02-05,3,0.21436666666666668,0,0,0,0,0,0,0,1,0,0
2021-02-04,2021-02-04,1,-0.5423,0,0,0,0,0,0,0,0,0,0
2021-02-03,2021-02-03,1,0.4588,0,0,0,0,0,0,0,0,0,0
2021-02-02,2021-02-02,5,0.02527999999999997,0,0,0,0,0,0,1,0,0,0
2021-02-01,2021-02-01,2,0.0,0,0,0,0,0,0,0,0,0,0
2021-01-31,2021-01-31,1,-0.1263,0,0,0,0,0,0,0,0,0,0
2021-01-30,2021-01-30,4,-0.347975,0,0,0,0,0,0,0,0,0,0
2021-01-29,2021-01-29,3,0.2504,0,0,0,0,0,0,0,1,0,0
2021-01-28,2021-01-28,12,-0.10522499999999997,0,0,0,0,1,0,0,1,0,0
2021-01-27,2021-01-27,3,0.15153333333333333,0,0,0,0,0,0,0,0,0,0
2021-01-26,2021-01-26,3,0.07746666666666664,0,0,0,0,0,0,1,0,0,0
2021-01-24,2021-01-24,2,-0.1866,0,0,0,0,0,0,0,0,0,1
2021-01-23,2021-01-23,4,-0.327325,0,0,0,0,0,0,0,1,0,0
2021-01-22,2021-01-22,7,-0.17178571428571426,0,0,0,0,1,0,0,0,0,0
2021-01-21,2021-01-21,10,0.17148000000000002,0,0,1,1,0,0,0,0,0,1
2021-01-20,2021-01-20,2,0.6326499999999999,0,0,0,0,0,0,0,0,1,0
2021-01-17,2021-01-17,1,0.4019,0,0,0,0,0,0,0,0,0,0
