,date,tweet_count,daily_sent,binance,huobiglobal,vitalikbuterin,charliebilello,justinsuntron,scottmelker,tyler,grayscale,cameron,tferriss
2021-04-16,2021-04-16,5,0.49078,0,1,0,1,0,0,0,0,0,0
2021-04-15,2021-04-15,9,0.1884777777777778,0,0,0,0,0,0,0,0,0,0
2021-04-14,2021-04-14,6,0.16408333333333333,0,0,0,0,0,1,0,0,0,0
2021-04-13,2021-04-13,7,0.22851428571428573,1,1,0,0,0,0,0,0,0,0
2021-04-12,2021-04-12,3,0.31503333333333333,0,1,0,0,0,0,0,0,0,0
2021-04-10,2021-04-10,1,0.0,0,0,0,1,0,0,0,0,0,0
2021-04-07,2021-04-07,2,0.125,0,0,0,0,0,0,0,0,0,0
2021-04-06,2021-04-06,1,0.6369,0,0,0,0,0,0,0,0,0,0
2021-04-05,2021-04-05,3,0.7396333333333334,0,1,0,0,0,0,0,0,0,0
2021-04-04,2021-04-04,1,-0.6542,0,0,0,0,0,0,0,0,0,0
2021-04-02,2021-04-02,2,0.2553,0,0,0,0,0,0,1,0,0,0
2021-04-01,2021-04-01,1,0.9442,0,0,0,0,1,0,0,0,0,0
2021-03-31,2021-03-31,1,0.5423,0,0,0,1,0,0,0,0,0,0
2021-03-30,2021-03-30,1,0.0,0,0,0,0,0,1,0,0,0,0
2021-03-29,2021-03-29,4,0.364075,0,1,0,0,0,0,0,0,0,0
2021-03-26,2021-03-26,2,0.43825,0,0,0,0,0,0,0,1,0,0
2021-03-25,2021-03-25,1,0.0,0,0,0,0,0,0,0,0,0,0
2021-03-22,2021-03-22,1,0.9501,0,1,0,0,0,0,0,0,0,0
2021-03-20,2021-03-20,1,0.7351,0,0,0,0,0,0,0,0,0,0
2021-03-19,2021-03-19,1,0.8611,0,0,0,0,0,0,0,0,0,0
2021-03-16,2021-03-16,1,0.2732,0,0,0,0,0,0,0,0,0,0
2021-03-15,2021-03-15,3,0.46963333333333335,0,1,0,0,0,0,0,0,0,0
2021-03-13,2021-03-13,1,0.0,0,0,0,0,0,0,0,0,0,0
2021-03-12,2021-03-12,2,0.07255,0,0,0,0,0,0,0,1,0,0
2021-03-10,2021-03-10,1,0.34,0,0,0,0,0,0,0,1,0,0
2021-03-09,2021-03-09,3,0.06336666666666667,0,0,0,0,0,0,0,0,0,1
2021-03-08,2021-03-08,1,0.9559,0,1,0,0,0,0,0,0,0,0
2021-03-05,2021-03-05,1,0.0,0,0,0,0,0,0,0,0,0,0
2021-03-04,2021-03-04,1,0.8173,0,0,0,0,0,0,0,0,0,0
2021-03-02,2021-03-02,1,0.9228,0,0,0,0,0,0,0,1,0,0
2021-03-01,2021-03-01,1,-0.3947,0,0,0,0,0,1,0,0,0,0
2021-02-28,2021-02-28,2,-0.39105,1,0,0,0,0,0,0,0,0,0
2021-02-26,2021-02-26,2,0.29295,0,0,0,0,0,0,0,1,0,0
2021-02-25,2021-02-25,2,0.21670000000000003,0,0,0,0,0,0,0,1,0,0
2021-02-24,2021-02-24,1,0.7783,0,0,0,0,0,0,0,0,0,0
2021-02-23,2021-02-23,2,-0.20095,1,1,0,0,0,0,0,0,0,0
2021-02-22,2021-02-22,4,-0.02137499999999999,1,0,0,0,0,0,0,0,0,0
2021-02-19,2021-02-19,4,-0.11064999999999998,1,0,0,0,0,0,0,0,0,0
2021-02-18,2021-02-18,3,0.4239,0,0,0,0,0,0,0,0,0,0
2021-02-15,2021-02-15,1,0.5106,0,0,0,0,0,0,0,1,0,0
2021-02-12,2021-02-12,1,0.9228,0,0,0,0,0,0,0,1,0,0
2021-02-11,2021-02-11,1,0.3641,0,0,0,0,0,0,0,0,0,0
2021-02-09,2021-02-09,2,0.0941,0,0,0,0,0,0,0,0,0,0
2021-02-06,2021-02-06,1,0.6249,0,0,0,0,0,0,0,0,0,0
2021-02-03,2021-02-03,1,0.4003,0,0,0,0,0,0,0,0,0,0
2021-02-02,2021-02-02,5,0.2644,0,1,0,0,0,0,0,0,0,0
2021-01-31,2021-01-31,1,-0.1813,0,0,0,0,0,1,0,0,0,0
2021-01-29,2021-01-29,4,0.47487500000000005,0,0,0,1,0,0,0,1,0,0
2021-01-25,2021-01-25,2,0.17945,0,0,0,0,0,0,0,0,0,0
2021-01-23,2021-01-23,1,0.83,0,0,0,0,0,0,0,0,0,0
2021-01-20,2021-01-20,3,-0.05526666666666665,0,0,0,0,1,0,1,0,1,0
2021-01-19,2021-01-19,5,0.28891999999999995,0,0,0,0,0,1,0,0,0,0
2021-01-18,2021-01-18,1,0.291,0,0,0,0,0,0,0,1,0,0
2021-01-17,2021-01-17,2,0.6073999999999999,0,0,0,0,0,0,0,0,0,0
2021-01-16,2021-01-16,1,0.7351,0,0,0,0,0,0,0,0,0,0
2021-01-15,2021-01-15,2,0.34245,0,0,0,0,0,0,0,1,0,0
